tourney_id,tourney_name,surface,tourney_date,round,best_of,score,tour,retired,total_games,total_sets,total_tiebreaks,player_id,player_name,player_rank,opp_id,opp_name,opp_rank,won_match,games_won,games_lost,sets_won,aces,double_faults,bp_won,bp_faced,bp_saved,bp_faced_opp,svpt,first_in,first_won,second_won,svc_games
2019-0421,Canada Masters,Hard,2019-08-05,R32,3,7-6(4) 6-4,atp,0,23,2,1,100644,Alexander Zverev,7.0,111815,Cameron Norrie,62.0,1,13,10,2,10,5,1,6,6,6,83,54,42,13,11
2019-M024,Cincinnati Masters,Hard,2019-08-12,R32,3,6-7(4) 6-2 6-4,atp,0,31,3,1,100644,Alexander Zverev,6.0,200175,Miomir Kecmanovic,58.0,0,13,18,1,9,20,3,8,2,6,94,50,40,16,15
2019-560,US Open,Hard,2019-08-26,R128,5,6-1 6-3 3-6 4-6 6-2,atp,0,43,5,0,100644,Alexander Zverev,6.0,105430,Radu Albot,41.0,1,25,18,3,9,8,9,7,2,19,119,79,55,19,21
2019-560,US Open,Hard,2019-08-26,R64,5,6-3 3-6 6-2 2-6 6-3,atp,0,43,5,0,100644,Alexander Zverev,6.0,126207,Frances Tiafoe,45.0,1,23,20,3,22,11,4,11,8,12,153,96,72,26,22
2019-560,US Open,Hard,2019-08-26,R32,5,6-7(4) 7-6(4) 6-3 7-6(3),atp,0,48,4,3,100644,Alexander Zverev,6.0,105379,Aljaz Bedene,80.0,1,26,22,3,25,7,3,6,4,8,147,105,84,21,25
2019-560,US Open,Hard,2019-08-26,R16,5,3-6 6-2 6-4 6-3,atp,0,36,4,0,100644,Alexander Zverev,6.0,106043,Diego Schwartzman,21.0,0,15,21,1,11,17,5,18,10,16,128,81,50,15,18
2019-9210,Laver Cup,Hard,2019-09-20,RR,3,6-4 3-6 [10-4],atp,0,33,3,0,100644,Alexander Zverev,6.0,105683,Milos Raonic,24.0,1,19,14,2,0,0,0,0,0,0,0,0,0,0,0
2019-9210,Laver Cup,Hard,2019-09-20,RR,3,6-7(2) 6-4 [10-1],atp,0,34,3,1,100644,Alexander Zverev,6.0,104545,John Isner,20.0,0,12,22,1,0,0,0,0,0,0,0,0,0,0,0
2019-M015,Beijing,Hard,2019-09-30,SF,3,7-6(6) 6-4,atp,0,23,2,1,100644,Alexander Zverev,6.0,126774,Stefanos Tsitsipas,7.0,0,10,13,0,4,2,3,8,4,7,81,60,35,10,11
2019-M015,Beijing,Hard,2019-09-30,QF,3,7-6(3) 6-2,atp,0,21,2,1,100644,Alexander Zverev,6.0,105023,Sam Querrey,55.0,1,13,8,2,6,0,2,1,1,3,61,45,37,10,10
2019-M015,Beijing,Hard,2019-09-30,R16,3,6-3 6-1,atp,0,16,2,0,100644,Alexander Zverev,6.0,200000,Felix Auger Aliassime,20.0,1,12,4,2,5,2,4,0,0,7,39,27,25,7,8
2019-M015,Beijing,Hard,2019-09-30,R32,3,6-3 6-2,atp,0,17,2,0,100644,Alexander Zverev,6.0,126207,Frances Tiafoe,46.0,1,12,5,2,10,3,3,1,1,8,53,37,29,10,9
2019-5014,Shanghai Masters,Hard,2019-10-07,F,3,6-4 6-1,atp,0,17,2,0,100644,Alexander Zverev,6.0,106421,Daniil Medvedev,4.0,0,5,12,0,7,3,1,5,1,6,48,31,20,4,8
2019-5014,Shanghai Masters,Hard,2019-10-07,SF,3,6-3 6-4,atp,0,19,2,0,100644,Alexander Zverev,6.0,126610,Matteo Berrettini,13.0,1,12,7,2,11,1,2,0,0,5,47,38,34,6,10
2019-5014,Shanghai Masters,Hard,2019-10-07,QF,3,6-3 6-7(7) 6-3,atp,0,31,3,1,100644,Alexander Zverev,6.0,103819,Roger Federer,3.0,1,18,13,2,17,1,4,3,1,8,90,70,54,12,16
2019-5014,Shanghai Masters,Hard,2019-10-07,R16,3,6-0 7-6(4),atp,0,19,2,1,100644,Alexander Zverev,6.0,126094,Andrey Rublev,33.0,1,13,6,2,17,7,5,7,5,10,61,40,31,9,9
2019-5014,Shanghai Masters,Hard,2019-10-07,R32,3,7-6(13) 7-6(3),atp,0,26,2,2,100644,Alexander Zverev,6.0,104871,Jeremy Chardy,71.0,1,14,12,2,21,3,2,3,1,2,79,58,48,11,12
2019-0328,Basel,Hard,2019-10-21,R32,3,7-6(7) 6-4,atp,0,23,2,1,100644,Alexander Zverev,6.0,126203,Taylor Fritz,31.0,0,10,13,0,8,4,0,3,2,2,68,44,35,11,11
2019-0352,Paris Masters,Hard,2019-10-28,R16,3,6-2 5-7 6-2,atp,0,28,3,0,100644,Alexander Zverev,6.0,133430,Denis Shapovalov,28.0,0,11,17,1,5,5,2,17,12,13,93,59,38,13,14
2019-0352,Paris Masters,Hard,2019-10-28,R32,3,6-1 6-3,atp,0,16,2,0,100644,Alexander Zverev,6.0,104269,Fernando Verdasco,49.0,1,12,4,2,9,1,4,2,2,7,38,30,26,7,8
2019-0605,Tour Finals,Hard,2019-11-11,SF,3,7-5 6-3,atp,0,21,2,0,100644,Alexander Zverev,7.0,106233,Dominic Thiem,5.0,0,8,13,0,8,4,0,5,3,4,66,50,34,8,10
2019-0605,Tour Finals,Hard,2019-11-11,RR,3,6-2 6-4,atp,0,18,2,0,100644,Alexander Zverev,7.0,104745,Rafael Nadal,1.0,1,12,6,2,11,2,3,0,0,4,49,34,30,7,9
2019-0605,Tour Finals,Hard,2019-11-11,RR,3,6-4 7-6(4),atp,0,23,2,1,100644,Alexander Zverev,7.0,106421,Daniil Medvedev,4.0,1,13,10,2,8,3,1,0,0,2,63,51,45,4,11
2019-0605,Tour Finals,Hard,2019-11-11,RR,3,6-3 6-2,atp,0,17,2,0,100644,Alexander Zverev,7.0,126774,Stefanos Tsitsipas,6.0,0,5,12,0,5,2,0,7,4,1,51,33,24,5,8
2020-8888,Atp Cup,Hard,2020-01-06,RR,3,6-1 6-4,atp,0,17,2,0,100644,Alexander Zverev,7.0,126774,Stefanos Tsitsipas,6.0,0,5,12,0,2,10,1,7,3,1,55,25,16,11,8
2020-8888,Atp Cup,Hard,2020-01-06,RR,3,6-2 6-2,atp,0,16,2,0,100644,Alexander Zverev,7.0,133430,Denis Shapovalov,14.0,0,4,12,0,2,7,0,5,1,2,52,28,19,7,8
2020-8888,Atp Cup,Hard,2020-01-06,RR,3,4-6 7-6(3) 6-2,atp,0,31,3,1,100644,Alexander Zverev,7.0,200282,Alex De Minaur,18.0,0,14,17,1,10,14,3,12,8,10,106,69,52,12,15
2020-580,Australian Open,Hard,2020-01-20,R128,5,6-4 7-6(4) 6-3,atp,0,32,3,1,100644,Alexander Zverev,7.0,106065,Marco Cecchinato,77.0,1,19,13,3,8,4,5,11,8,12,109,92,66,8,16
2020-580,Australian Open,Hard,2020-01-20,R64,5,7-6(5) 6-4 7-5,atp,0,35,3,1,100644,Alexander Zverev,7.0,106078,Egor Gerasimov,98.0,1,20,15,3,9,0,3,2,1,14,85,66,57,13,17
2020-580,Australian Open,Hard,2020-01-20,R32,5,6-2 6-2 6-4,atp,0,26,3,0,100644,Alexander Zverev,7.0,104269,Fernando Verdasco,51.0,1,18,8,3,15,3,6,5,4,10,82,61,47,8,13
2020-580,Australian Open,Hard,2020-01-20,R16,5,6-4 6-4 6-4,atp,0,30,3,0,100644,Alexander Zverev,7.0,126094,Andrey Rublev,16.0,1,18,12,3,11,3,3,0,0,7,72,54,49,11,15
2020-580,Australian Open,Hard,2020-01-20,QF,5,1-6 6-3 6-4 6-2,atp,0,34,4,0,100644,Alexander Zverev,7.0,104527,Stan Wawrinka,15.0,1,19,15,3,13,1,5,6,3,13,93,74,56,8,17
2020-580,Australian Open,Hard,2020-01-20,SF,5,3-6 6-4 7-6(3) 7-6(4),atp,0,45,4,2,100644,Alexander Zverev,7.0,106233,Dominic Thiem,5.0,0,22,23,1,16,3,5,9,5,14,127,103,70,12,21
2020-M004,Acapulco,Hard,2020-02-24,R16,3,6-3 6-4,atp,0,19,2,0,100644,Alexander Zverev,7.0,126205,Tommy Paul,66.0,0,7,12,0,3,9,0,8,6,4,59,32,27,11,9
2020-M004,Acapulco,Hard,2020-02-24,R32,3,7-6(6) 6-1,atp,0,20,2,1,100644,Alexander Zverev,7.0,105359,Jason Jung,119.0,1,13,7,2,12,8,4,2,0,7,54,38,32,8,10
2020-M024,Cincinnati Masters,Hard,2020-08-24,R32,3,6-3 3-6 7-5,atp,0,30,3,0,100644,Alexander Zverev,7.0,104918,Andy Murray,134.0,0,14,16,1,10,11,3,8,4,11,93,49,36,20,15
2020-560,Us Open,Hard,2020-08-31,R128,5,7-6(2) 5-7 6-3 7-5,atp,0,46,4,1,100644,Alexander Zverev,7.0,104731,Kevin Anderson,117.0,1,25,21,3,18,6,3,5,3,4,135,91,78,20,23
2020-560,Us Open,Hard,2020-08-31,R64,5,7-5 6-7(8) 6-3 6-1,atp,0,41,4,1,100644,Alexander Zverev,7.0,206909,Brandon Nakashima,223.0,1,25,16,3,24,10,5,5,5,10,129,97,81,11,21
2020-560,Us Open,Hard,2020-08-31,R32,5,6-7(4) 6-4 6-2 6-2,atp,0,39,4,1,100644,Alexander Zverev,7.0,105173,Adrian Mannarino,39.0,1,24,15,3,14,11,7,8,6,9,116,73,58,22,20
2020-560,Us Open,Hard,2020-08-31,R16,5,6-2 6-2 6-1,atp,0,23,3,0,100644,Alexander Zverev,7.0,200221,Alejandro Davidovich Fokina,99.0,1,18,5,3,18,2,8,7,6,11,77,51,38,13,11
2020-560,Us Open,Hard,2020-08-31,QF,5,1-6 7-6(5) 7-6(1) 6-3,atp,0,42,4,2,100644,Alexander Zverev,7.0,106432,Borna Coric,32.0,1,21,21,3,18,12,3,15,11,8,141,100,76,17,21
2020-560,Us Open,Hard,2020-08-31,SF,5,3-6 2-6 6-3 6-4 6-3,atp,0,45,5,0,100644,Alexander Zverev,7.0,105807,Pablo Carreno Busta,27.0,1,23,22,3,24,8,8,16,9,22,138,86,67,19,22
2020-560,Us Open,Hard,2020-08-31,F,5,2-6 4-6 6-4 6-3 7-6(6),atp,0,50,5,1,100644,Alexander Zverev,7.0,106233,Dominic Thiem,3.0,0,25,25,2,15,15,8,13,6,18,157,101,71,23,24
2020-520,Roland Garros,Clay,2020-09-28,R128,5,7-5 6-2 6-4,atp,0,30,3,0,100644,Alexander Zverev,7.0,110602,Dennis Novak,92.0,1,19,11,3,10,2,5,2,1,11,80,58,48,13,15
2020-520,Roland Garros,Clay,2020-09-28,R64,5,2-6 6-4 7-6(5) 4-6 6-4,atp,0,51,5,1,100644,Alexander Zverev,7.0,105732,Pierre Hugues Herbert,78.0,1,25,26,3,10,11,6,14,7,14,165,112,79,22,25
2020-520,Roland Garros,Clay,2020-09-28,R32,5,6-1 7-5 6-3,atp,0,28,3,0,100644,Alexander Zverev,7.0,106065,Marco Cecchinato,110.0,1,19,9,3,10,5,6,2,1,13,75,47,40,14,14
2020-520,Roland Garros,Clay,2020-09-28,R16,5,6-3 6-3 4-6 6-3,atp,0,37,4,0,100644,Alexander Zverev,7.0,206173,Jannik Sinner,75.0,0,15,22,1,3,4,2,6,1,8,108,71,51,15,18
2020-9404,Cologne 1,Hard,2020-10-12,F,3,6-3 6-3,atp,0,18,2,0,100644,Alexander Zverev,7.0,200000,Felix Auger Aliassime,22.0,1,12,6,2,1,5,4,3,2,10,47,25,20,15,9
2020-9404,Cologne 1,Hard,2020-10-12,SF,3,7-5 7-6(3),atp,0,25,2,1,100644,Alexander Zverev,7.0,200221,Alejandro Davidovich Fokina,71.0,1,14,11,2,10,3,2,2,1,7,73,47,34,16,12
2020-9404,Cologne 1,Hard,2020-10-12,QF,3,6-4 3-6 6-0,atp,0,25,3,0,100644,Alexander Zverev,7.0,144750,Lloyd Harris,92.0,1,15,10,2,8,3,5,4,2,9,67,48,33,12,12
2020-9404,Cologne 1,Hard,2020-10-12,R16,3,6-4 6-1,atp,0,17,2,0,100644,Alexander Zverev,7.0,104269,Fernando Verdasco,61.0,1,12,5,2,7,0,4,0,0,5,38,25,21,11,8
2020-9406,Cologne 2,Hard,2020-10-19,F,3,6-2 6-1,atp,0,15,2,0,100644,Alexander Zverev,7.0,106043,Diego Schwartzman,9.0,1,12,3,2,9,0,5,1,1,8,45,29,24,8,7
2020-9406,Cologne 2,Hard,2020-10-19,SF,3,7-6(3) 6-3,atp,0,22,2,1,100644,Alexander Zverev,7.0,206173,Jannik Sinner,46.0,1,13,9,2,7,6,4,8,5,7,79,47,37,11,11
2020-9406,Cologne 2,Hard,2020-10-19,QF,3,6-4 6-7(5) 6-4,atp,0,33,3,1,100644,Alexander Zverev,7.0,105173,Adrian Mannarino,41.0,1,18,15,2,16,9,4,7,5,11,98,64,53,15,16
2020-9406,Cologne 2,Hard,2020-10-19,R16,3,6-0 3-6 6-3,atp,0,24,3,0,100644,Alexander Zverev,7.0,105357,John Millman,44.0,1,15,9,2,5,10,4,7,6,5,80,53,42,12,12
2020-0352,Paris Masters,Hard,2020-11-02,F,3,5-7 6-4 6-1,atp,0,29,3,0,100644,Alexander Zverev,7.0,106421,Daniil Medvedev,5.0,0,12,17,1,11,3,1,10,6,7,102,76,51,9,15
2020-0352,Paris Masters,Hard,2020-11-02,SF,3,6-4 7-5,atp,0,22,2,0,100644,Alexander Zverev,7.0,104745,Rafael Nadal,2.0,1,13,9,2,13,1,3,3,2,8,60,43,34,9,11
2020-0352,Paris Masters,Hard,2020-11-02,QF,3,6-3 7-6(1),atp,0,22,2,1,100644,Alexander Zverev,7.0,104527,Stan Wawrinka,20.0,1,13,9,2,8,2,4,4,2,4,62,46,37,6,10
2020-0352,Paris Masters,Hard,2020-11-02,R16,3,7-6(11) 6-7(7) 6-4,atp,0,36,3,2,100644,Alexander Zverev,7.0,105173,Adrian Mannarino,36.0,1,19,17,2,19,1,4,6,3,11,113,79,63,15,17
2020-0352,Paris Masters,Hard,2020-11-02,R32,3,6-2 6-2,atp,0,16,2,0,100644,Alexander Zverev,7.0,200175,Miomir Kecmanovic,42.0,1,12,4,2,8,2,4,0,0,6,42,26,23,11,8
2020-0605,Tour Finals,Hard,2020-11-16,RR,3,6-3 7-6(4),atp,0,22,2,1,100644,Alexander Zverev,7.0,104925,Novak Djokovic,1.0,0,9,13,0,12,6,0,4,3,3,57,43,36,5,10
2020-0605,Tour Finals,Hard,2020-11-16,RR,3,6-3 6-4,atp,0,19,2,0,100644,Alexander Zverev,7.0,106421,Daniil Medvedev,4.0,0,7,12,0,3,7,1,9,6,6,68,49,34,4,9
2020-0605,Tour Finals,Hard,2020-11-16,RR,3,6-3 4-6 6-3,atp,0,28,3,0,100644,Alexander Zverev,7.0,106043,Diego Schwartzman,9.0,1,16,12,2,10,3,5,9,6,12,82,60,44,10,14
2021-8888,Atp Cup,Hard,2021-02-02,RR,3,6-7(5) 6-3 7-6(4),atp,0,35,3,2,100644,Alexander Zverev,7.0,133430,Denis Shapovalov,12.0,1,19,16,2,15,7,1,4,4,9,113,74,61,24,17
2021-8888,Atp Cup,Hard,2021-02-02,RR,3,6-7(3) 6-2 7-5,atp,0,33,3,1,100644,Alexander Zverev,7.0,104925,Novak Djokovic,1.0,0,14,19,1,16,8,1,6,2,1,100,62,44,19,16
2021-8888,Atp Cup,Hard,2021-02-02,SF,3,3-6 6-3 7-5,atp,0,30,3,0,100644,Alexander Zverev,7.0,106421,Daniil Medvedev,4.0,0,14,16,1,7,9,2,11,8,11,105,66,49,16,15
2021-580,Australian Open,Hard,2021-02-08,R128,5,6-7(8) 7-6(5) 6-3 6-2,atp,0,43,4,2,100644,Alexander Zverev,7.0,106218,Marcos Giron,75.0,1,25,18,3,16,4,6,4,2,15,111,77,67,20,21
2021-580,Australian Open,Hard,2021-02-08,R64,5,7-5 6-4 6-3,atp,0,31,3,0,100644,Alexander Zverev,7.0,202195,Maxime Cressy,172.0,1,19,12,3,15,3,4,4,4,10,87,62,51,15,16
2021-580,Australian Open,Hard,2021-02-08,R32,5,6-3 6-3 6-1,atp,0,25,3,0,100644,Alexander Zverev,7.0,105173,Adrian Mannarino,36.0,1,18,7,3,19,6,5,3,3,12,75,51,45,12,13
2021-580,Australian Open,Hard,2021-02-08,R16,5,6-4 7-6(5) 6-3,atp,0,32,3,1,100644,Alexander Zverev,7.0,105583,Dusan Lajovic,27.0,1,19,13,3,15,3,4,3,1,14,97,70,53,14,16
2021-580,Australian Open,Hard,2021-02-08,QF,5,6-7(6) 6-2 6-4 7-6(6),atp,0,44,4,2,100644,Alexander Zverev,7.0,104925,Novak Djokovic,1.0,0,19,25,1,21,5,3,9,3,12,126,81,60,22,21
2021-0407,Rotterdam,Hard,2021-03-01,R32,3,7-5 6-3,atp,0,21,2,0,100644,Alexander Zverev,7.0,122330,Alexander Bublik,43.0,0,8,13,0,1,0,2,9,5,4,58,37,25,10,10
